id,source,title_clean,price_initial,price_offre,currency,price_initial_mad,price_offre_mad,eur_to_mad_rate,discount_pct,seller,location,category,rating,date,link,offre_type,is_duplicate
AMA_091e5a908c15,Amazon,"XIAOMI Smartphone Redmi A5, 3+64GO, Noir, Double Appareil Photo AI de 32 MP, Batterie Massive de 5200 mAh, Octa-Core, Écran immersif de 6,88 Pouces jusqu'à 120 Hz (Adaptateur Secteur Non Inclus)",95.66,,EUR,1037.91,,10.85,,,Amazon.fr,Smartphones,4.2,2026-03-29,https://www.amazon.fr/dp/B0F1GF3MW6,forfaite,False
AMA_0be9161e7893,Amazon,"Xiaomi REDMI 15C 5G, Smartphone 4+128 Go, Écran 6,9"" 120 Hz, Processeur MediaTek Dimensity 6300 6 nm Octa-Core, Double caméra 50 MP avec IA, 6 000mAh, Noir, Chargeur Non Inclus",183.0,149.0,EUR,1985.55,1616.65,10.85,18.58,,Amazon.fr,Smartphones,3.8,2026-03-29,https://www.amazon.fr/dp/B0FHBS428L,forfaite,False
AMA_2a25e67caeec,Amazon,XIAOMI Redmi Note 15 Pro+ 5G,499.9,379.99,EUR,5423.91,4122.89,10.85,24.0,,Amazon.fr,Smartphones,4.4,2026-03-29,https://www.amazon.fr/dp/B0G3TTPVPS,pourcentage,False
AMA_88aa368e3d9f,Amazon,"Blackview BV6200 Plus Téléphone Incassable 2026, Batterie 11000mAh Téléphone Portable Incassable 24Go+128Go/2To TF, 6.56"" HD+, Caméra AI 16MP+13MP,NFC/GPS/98dB Haut-Parleurs Smartphone 2 Ans Garantie",178.49,,EUR,1936.62,,10.85,,,Amazon.fr,Smartphones,4.2,2026-03-29,https://www.amazon.fr/dp/B0DLP73L61,,False
AMA_6924f53b7a02,Amazon,"realme 16 Pro 5G Smartphone, 8Go+512Go, Écran AMOLED 144Hz 6,78"", Batterie 6500mAh, Caméra 200MP OIS, IP69K, Charge Rapide 45W, Double SIM, Next AI, Violet",479.99,433.06,EUR,5207.89,4698.7,10.85,9.78,,Amazon.fr,Smartphones,4.4,2026-03-29,https://www.amazon.fr/dp/B0GH75YH4K,forfaite,False
AMA_30664f331343,Amazon,"TCL Smartphone Android NXTPAPER 70 Pro 5G, doté de l'écran NXTPAPER 4.0 de 6,9"" FHD+ 120 Hz, Appareil Photo Principal 50 MP OIS, 256 Go + 8 Go, IA, Dimensity 7300, Bleu Astral.",299.99,,EUR,3254.89,,10.85,,,Amazon.fr,Smartphones,4.4,2026-03-29,https://www.amazon.fr/dp/B0GC5NB2DW,,False
AMA_b8c1ed0d4b8d,Amazon,"Google Pixel 10 Pro XL – Smartphone Android débloqué avec Gemini, Triple Appareil Photo arrière, Plus de 24 Heures d'autonomie et écran Super Actua 6,8 Pouces - Quartz Gris, 256GB",999.0,,EUR,10839.15,,10.85,,,Amazon.fr,Smartphones,4.4,2026-03-29,https://www.amazon.fr/dp/B0FHLVP7J2,,False
AMA_26427635d887,Amazon,"Motorola g 56 8, 256 Go, Smartphone debloqué, écran 6,72"", Appareil Photo 50 MP, Batterie 5200 mAh, Black Oyster (Noir), Coque de Protection et câble USB C Inclus",183.96,,EUR,1995.97,,10.85,,,Amazon.fr,Smartphones,4.3,2026-03-29,https://www.amazon.fr/dp/B0F9L8F2DT,,False
AMA_7d0b896d5835,Amazon,"realme C31 4g Smartphone，Puissant processeur Unisoc T612，Triple Appareil Photo I.A. de 13 MP，Batterie puissante de 5 000 mAh，Écran sans Bordures de 16,5 cm (6,5'')，3+32 Vert Foncé",129.48,,EUR,1404.86,,10.85,,,Amazon.fr,Smartphones,4.0,2026-03-29,https://www.amazon.fr/dp/B09TKDMBTL,,False
AMA_956de9c2fadb,Amazon,"Nothing Phone (3) – Handy mit 50 MP Triple-Kamera, 24h Silizium-Kohlenstoff Akku, 6,67"" 120Hz AMOLED Display, Glyph Matrix,16GB + 512GB – Schwarz",949.0,627.2,EUR,10296.65,6805.12,10.85,34.0,,Amazon.fr,Smartphones,4.5,2026-03-29,https://www.amazon.fr/dp/B0F6YCW6M8,pourcentage,False
AMA_661639c69470,Amazon,"Samsung Galaxy A26 5G, Smartphone Android, 128 Go, Chargeur Secteur Rapide 25W Inclus, Smartphone déverrouillé, Noir, Version FR",319.0,272.0,EUR,3461.15,2951.2,10.85,15.0,,Amazon.fr,Smartphones,4.4,2026-03-29,https://www.amazon.fr/dp/B0DVTLD4SB,pourcentage,False
AMA_120dde1dd9aa,Amazon,"XIAOMI Smartphone POCO X7 Pro,12+512GB,Noir,caméra Principale 50MP avec OIS, Batterie 6000mAh avec Hypercharge 90W, IP68, fonctionnalités IA (Chargeur Non Inclus)(Version Française+2 Ans de Garantie)",433.0,,EUR,4698.05,,10.85,,,Amazon.fr,Smartphones,4.5,2026-03-29,https://www.amazon.fr/dp/B0DKP53482,forfaite,False
AMA_18454d3263f5,Amazon,"Moto Edge 60 Neo 12 256 Grisaille Gris, Batterie 5000 mAh, écran pOLED 6,36″, Triple caméra: capteur Principal 50 MP, IP68/IP69 résistant à Eau et poussière",349.99,,EUR,3797.39,,10.85,,,Amazon.fr,Smartphones,4.5,2026-03-29,https://www.amazon.fr/dp/B0FSLRB4HJ,forfaite,False
AMA_5b23ea168a7c,Amazon,Infinix Mobile Note 40 Pro+ 12 Go + 12 Go de RAM 256 Go 5G - Version Moyen-Orient (Obsidienne Noir),287.82,,EUR,3122.85,,10.85,,,Amazon.fr,Smartphones,4.6,2026-03-29,https://www.amazon.fr/dp/B0D233F9WP,,False
AMA_f3af6d0afa70,Amazon,"XIAOMI Redmi 15C, Smartphone 4+128Go, écran 6,9 Pouces 120Hz, Design 7,99 mm, MediaTek Helio G81-Ultra, Batterie 6000 mAh, Bleu, Chargeur Non Inclus (Version Française + 2 Ans de Garantie)",153.0,129.0,EUR,1660.05,1399.65,10.85,15.69,,Amazon.fr,Smartphones,4.2,2026-03-29,https://www.amazon.fr/dp/B0FHBRVRKW,forfaite,False
AMA_b71d8b6f4765,Amazon,Samsung A566 Galaxy A56 Enterprise Edition (6.7'' - 8/128GB) Graphite,450.17,,EUR,4884.34,,10.85,,,Amazon.fr,Smartphones,4.4,2026-03-29,https://www.amazon.fr/dp/B0F13GMGJ4,,False
AMA_62d4b38e35e4,Amazon,"Motorola Edge 60 512 Go, Smartphone debloqué, écran 6,67"", Appareil Photo 50 MP, Batterie 5200 mAh, Gibraltar Marine (Blue), Coque de Protection et câble USB C Inclus",349.0,,EUR,3786.65,,10.85,,,Amazon.fr,Smartphones,4.1,2026-03-29,https://www.amazon.fr/dp/B0F38SFYLF,,False
AMA_135298618fcb,Amazon,"realme P3 Lite, Smartphone,Vert, 8+256Go, Écran à Confort oculaire 120Hz, Batterie de 6000 mAh, Chipset T7250, Caméra IA 50MP, Charge 15W, Résistance aux Chocs de Grade Militaire (sans Adaptateur)",139.99,,EUR,1518.89,,10.85,,,Amazon.fr,Smartphones,4.0,2026-03-29,https://www.amazon.fr/dp/B0FN78C92N,,False
AMA_c0a926c94d9d,Amazon,XIAOMI Redmi 10 5G 4Go/64Go Gris Graphite (Graphite Gray) Double SIM,124.59,,EUR,1351.8,,10.85,,,Amazon.fr,Smartphones,4.3,2026-03-29,https://www.amazon.fr/dp/B0BGXJ6X2B,,False
AMA_8aeefabb34d8,Amazon,"Blackview Color 6 Telephone Portable Pas Cher 24Go+256Go Android 15 Smartphone, 50+13MP, MTK G81 Core, 6.67"" 90Hz, 5000mAh Téléphone Portable Double SIM/Fingerprin/Face ID/GPS/OTG",139.99,,EUR,1518.89,,10.85,,,Amazon.fr,Smartphones,4.3,2026-03-29,https://www.amazon.fr/dp/B0F9PMFXDW,,False
AMA_a50830c57ce0,Amazon,"Samsung Galaxy Z Fold6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Gris, Version FR",1999.0,1715.06,EUR,21689.15,18608.4,10.85,14.0,,Amazon.fr,Smartphones,4.1,2026-03-29,https://www.amazon.fr/dp/B0D45T4TVL,pourcentage,False
