id,source,title_clean,price_initial,price_offre,currency,price_initial_mad,price_offre_mad,eur_to_mad_rate,discount_pct,seller,location,category,rating,date,link,offre_type,is_duplicate
CDI_89fa03fa55d4,CDiscount,"DOOGEE Note56 Pro Android 16 Smartphone Écran 6.56"" HD+ 90Hz, Telephone Portable 32 Go+128 Go,NFC/Widevine L1/GPS, Débloqué - Blanc",89.99,,EUR,976.39,,10.85,,DOOGEE,France,Téléphones & Tablettes,5.0,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/telephone-portable-doogee/f-14404-aabjo73611.html,,False
CDI_ffe9408aabd5,CDiscount,A17 64Go - 4230mAh -couleur orange,49.99,,EUR,542.39,,10.85,,EAUN,France,Téléphones & Tablettes,,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/a17-64go---4230mah--couleur/f-14404-aacmd03086.html,pourcentage,False
CDI_7a5b9b161aa5,CDiscount,HUAWEI P20 Lite 64 Go Blue,61.99,,EUR,672.59,,10.85,,HUAWEI,France,Téléphones & Tablettes,4.27,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/huawei-p20-lite-64-go-blue/f-14404-huaweip20blue.html,,False
CDI_9f49104025d9,CDiscount,"Blackview WAVE 8 Téléphone Portable 6.56"" 12Go(4+8)+128Go/2 To 13MP+8MP 5000mAh Smartphone 4G Double SIM GPS - Noir",76.99,,EUR,835.34,,10.85,,BLACKVIEW,France,Téléphones & Tablettes,5.0,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/blackview-wave-8-smartphone/f-14404-aaamt05905.html,,False
CDI_0e825790bb60,CDiscount,"DOOGEE NOTE 56 X Pro Smartphone 6.56"" 36Go(4+32) + 128Go/jusqu'à 2To 6150mAh Android 16 13MP Téléphone 4G Double Sim NFC GPS - Gris",89.99,,EUR,976.39,,10.85,,DOOGEE,France,Téléphones & Tablettes,5.0,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/doogee-note-56-x-pro/f-14404-aabxd17371.html,,False
CDI_ced56eb22aca,CDiscount,Motorola - Smartphone - Moto G05 - ROM 4 Go - RAM 256 Go - Bleu denim - Version Française,119.99,,EUR,1301.89,,10.85,,MOTOROLA,France,Téléphones & Tablettes,,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/motorola-smartphone-moto-g05-rom-4-go-ram/f-14404-bunmot1750439367.html,pourcentage,False
CDI_757e88e508dd,CDiscount,Motorola - Smartphone - Moto G05 - ROM 4 Go - RAM 256 Go - Bleu denim,119.99,,EUR,1301.89,,10.85,,MOTOROLA,France,Téléphones & Tablettes,3.0,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/motorola-smartphone-moto-g05-rom-4-go-ram/f-14404-mot1750439367257.html,pourcentage,False
CDI_ab5e6d28dd74,CDiscount,HUAWEI P30 Lite 128 Go Bleu,76.99,,EUR,835.34,,10.85,,HUAWEI,France,Téléphones & Tablettes,4.1,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/huawei-p30-lite-128-go-bleu/f-14404-huaweip30lit128b.html,,False
CDI_27cca9740b4d,CDiscount,Smartphone 4G - HONOR X5c Plus - 4Go RAM - 256Go - Noir - Caméra ultra net 50 Mpx - 5260mAh - EU version,85.0,,EUR,922.25,,10.85,,HONOR,France,Téléphones & Tablettes,4.67,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/smartphone-honor-x5c-plus-4g/f-14404-aabtm27719.html,,False
CDI_8cc456ccac3b,CDiscount,SAMSUNG Galaxy A10 Noir,65.0,,EUR,705.25,,10.85,,SAMSUNG,France,Téléphones & Tablettes,4.21,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a10-noir/f-14404-samgalaxya10nn.html,,False
CDI_3ea5463aaf5e,CDiscount,"Ulefone Armor X32 Pro 5G Smartphone Robuste 16Go+256Go Écran 6,56"" 5500mAh Téléphone Incassable 64MP Vision Nocturne GPS/NFC Orange",232.59,,EUR,2523.6,,10.85,,ULEFONE,France,Téléphones & Tablettes,,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/ulefone-armor-x32-pro/f-14404-aaavz23498.html,,False
CDI_1e5aa0fe6642,CDiscount,XIAOMI Redmi Note 10 5G 128 Go Vert,95.78,,EUR,1039.21,,10.85,,XIAOMI,France,Téléphones & Tablettes,4.31,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/xiaomi-redmi-note-10-5g-128-go-vert/f-14404-xia6934177740640.html,,False
CDI_aa0808810f5f,CDiscount,Xiaomi - Redmi Note 14 - 4G - 256 Go - Noir,143.89,,EUR,1561.21,,10.85,,XIAOMI,France,Téléphones & Tablettes,4.62,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/xiaomi-redmi-note-14-4g-256-go-noir/f-14404-xiaomi144g256mid.html,,False
CDI_0b657c10bb6a,CDiscount,HUAWEI P20 Lite 64 Go Noir,61.39,,EUR,666.08,,10.85,,HUAWEI,France,Téléphones & Tablettes,4.42,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/huawei-p20-lite-64-go-noir/f-14404-huaweip20black.html,,False
CDI_ccb47843878d,CDiscount,SAMSUNG GALAXY S22 Ultra 128Go 5G Noir,241.57,,EUR,2621.03,,10.85,,SAMSUNG,France,Téléphones & Tablettes,4.49,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s22-ultra-128go-5g-noir/f-14404-sam8806092879140.html,,False
CDI_b3c4571b376f,CDiscount,Samsung Galaxy A20e 32 go Noir - Double sim,68.0,,EUR,737.8,,10.85,,SAMSUNG,France,Téléphones & Tablettes,4.22,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a20e-32-go-noir-double-sim/f-14404-samgalaxya20en.html,,False
CDI_39faad8d4d11,CDiscount,Smartphone Realme 16 Pro Plus 5G Or 8Go Ram 256Go 200MP 7000mAh 80W IP69 AMOLED 6500nits Snapdragon 7 Gen4,429.0,,EUR,4654.65,,10.85,,REALME,France,Téléphones & Tablettes,,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/smartphone---realme-16-pro/f-14404-aacph99570.html,pourcentage,False
CDI_518b25466573,CDiscount,Xiaomi - Redmi A5 - 64 Go - Vert,99.8,,EUR,1082.83,,10.85,,XIAOMI,France,Téléphones & Tablettes,,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/xiaomi-redmi-a5-64-go-vert/f-14404-xia1744669391497.html,,False
CDI_5e503097a754,CDiscount,REDMI Note 15 4G Smartphone de 8G RAM 256G ROM Vert - Vendu par Excellent Mi - EU Version - Chargeur non inclus,185.99,,EUR,2017.99,,10.85,,XIAOMI,France,Téléphones & Tablettes,4.0,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/redmi-note-15-4g-smartphone-de/f-14404-aaclz60453.html,,False
CDI_de70d56e1c81,CDiscount,HUAWEI P30 Lite 128 Go Noir,79.99,,EUR,867.89,,10.85,,HUAWEI,France,Téléphones & Tablettes,4.12,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/huawei-p30-lite-128-go-noir/f-14404-huaweip30lit128n.html,,False
CDI_1eba5e2453f0,CDiscount,"Blackview Wave 9C Smartphone 6,56"" - 64Go + microSD jusqu'à 2To, 4Go+8Go ext., 5000mAh, Android 15, Dual SIM, 13MP - Noir",74.99,,EUR,813.64,,10.85,,BLACKVIEW,France,Téléphones & Tablettes,4.35,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/blackview-wave-9c-smartphone-6-56-12go-64go-13mp/f-14404-aaang32371.html,,False
CDI_cd9e25083b6c,CDiscount,SMARTPHONE - SAMSUNG - Galaxy A06 - 4G - 4Go RAM - 128Go Mémoire Interne,85.0,,EUR,922.25,,10.85,,SAMSUNG,France,Téléphones & Tablettes,4.38,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/smartphone---samsung-galaxy/f-14404-aaapd18307.html,,False
CDI_85336e2c7fbb,CDiscount,Smartphone - XIAOMI - Redmi 14C - 4 Go RAM - 128 Go - Écran 6.88' 120 Hz,99.9,,EUR,1083.91,,10.85,,XIAOMI,France,Téléphones & Tablettes,3.27,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/xiaomi-redmi-14c-bleu-4-go/f-14404-xia1727310627841.html,,False
CDI_108f6b16a6a2,CDiscount,Xiaomi Redmi 10A 4Go 128Go Gris Graphite Smartphone 4G,78.99,,EUR,857.04,,10.85,,XIAOMI,France,Téléphones & Tablettes,4.13,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/xiaomi-redmi-10a-4go-128go-gris-graphite-smartphon/f-14404-xia0699553285110.html,,False
CDI_a31c5fe05f21,CDiscount,SAMSUNG Galaxy A20e Bleu,88.9,,EUR,964.57,,10.85,,SAMSUNG,France,Téléphones & Tablettes,4.22,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a20e-bleu/f-14404-samgalaxya20ebl.html,,False
CDI_64950cb6f14d,CDiscount,Smartphone Google Pixel 9A 128Go Bleu 5G,994.0,,EUR,10784.9,,10.85,,GOOGLE,France,Téléphones & Tablettes,,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/smartphone-google-pixel-9a/f-14404-aabtm92405.html,,False
CDI_cc653b7c3fb9,CDiscount,"Smartphone - XIAOMI - Redmi 15C 4G - 256 Go ROM - 4 Go RAM - Écran 6,9 pouces 120Hz",103.47,,EUR,1122.65,,10.85,,XIAOMI,France,Téléphones & Tablettes,3.65,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/xiaomi-redmi-15c-8g-ram-256g/f-14404-aabdh05888.html,,False
CDI_639f0d951812,CDiscount,Smartphone - POCO - X7 Pro - 12 Go RAM - 512 Go - Écran AMOLED 120 Hz,309.99,,EUR,3363.39,,10.85,,POCO,France,Téléphones & Tablettes,4.7,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/poco-x7-pro-noir-12-go--512/f-14404-aaant51200.html,,False
CDI_761a9135b1eb,CDiscount,Smartphone - XIAOMI REDMI - Redmi 15C - 4G - 4 Go RAM - 128 Go ROM - Noir,86.69,,EUR,940.59,,10.85,,XIAOMI REDMI,France,Téléphones & Tablettes,3.8,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/xiaomi-redmi-15c-smartphone/f-14404-aabil72506.html,,False
CDI_0d56f70f7cba,CDiscount,APPLE iPhone 14 128GB Midnight - Reconditionné - Excellent état,288.99,,EUR,3135.54,,10.85,,APPLE,France,Téléphones & Tablettes,4.03,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/apple-iphone-14-128gb-midnight-reconditionne-e/f-14404-rcdapp0038253exe.html,,False
CDI_2f694e10c190,CDiscount,Smartphone 5G - HONOR Magic8 lite - 8Go RAM - 256Go - 7500 mAh - 108 Mpx + OIS - IP68 & IP69K - Vert - EU version,269.0,,EUR,2918.65,,10.85,,HONOR,France,Téléphones & Tablettes,5.0,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/smartphone-honor-magic8-lite/f-14404-aacbs57929.html,,False
CDI_4f632c5219b8,CDiscount,SAMSUNG Galaxy S23 Ultra 256Go Noir Single SIM US Version Smartphone,338.0,,EUR,3667.3,,10.85,,SAMSUNG,France,Téléphones & Tablettes,3.52,2026-03-30,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s23-ultra-256go-noir/f-14404-aaaah80118.html,,False
